City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
emmen,NL,1554348215,52.79,6.89,90,44.01,93,3.36
albany,US,1554347825,42.65,-73.75,20,39.99,32,18.34
port elizabeth,US,1554348068,39.31,-74.98,1,57.2,30,8.05
zapolyarnyy,RU,1554346200,69.43,30.82,75,30.2,92,17.22
arraial do cabo,BR,1554348192,-22.97,-42.02,0,74.97,100,11.45
ushuaia,AR,1554343200,-54.81,-68.31,90,39.2,69,20.8
new norfolk,AU,1554347834,-42.78,147.06,20,64.99,44,12.75
yayva,RU,1554348223,59.33,57.26,0,15.48,63,2.62
port alfred,ZA,1554347846,-33.59,26.89,12,64.99,63,3.0
carnarvon,ZA,1554348105,-30.97,22.13,0,43.56,51,5.19
sinnamary,GF,1554348121,5.38,-52.96,92,80.37,94,12.24
barrow,AR,1554348089,-38.31,-60.23,76,62.91,52,13.8
upernavik,GL,1554347883,72.79,-56.15,80,12.33,91,41.09
vestmanna,FO,1554346200,62.16,-7.17,80,37.4,100,5.82
bredasdorp,ZA,1554346800,-34.53,20.04,64,62.6,82,3.36
isabela,PH,1554348225,10.2,122.99,8,87.57,53,5.3
jamestown,AU,1554347845,-33.21,138.6,8,79.2,39,8.99
provideniya,RU,1554345000,64.42,-173.23,40,26.6,73,15.66
hermanus,ZA,1554347743,-34.42,19.24,48,59.0,80,7.0
busselton,AU,1554348007,-33.64,115.35,64,73.0,32,23.31
butaritari,KI,1554348091,3.07,172.79,92,76.41,100,3.29
san quintin,PH,1554348072,17.54,120.52,32,80.37,81,3.74
cherskiy,RU,1554348109,68.75,161.3,0,32.13,76,1.28
rikitea,PF,1554348063,-23.12,-134.97,12,75.87,100,18.72
kapaa,US,1554347894,22.08,-159.32,40,80.6,61,11.41
banjar,ID,1554348230,-7.37,108.54,44,81.36,74,3.62
iqaluit,CA,1554347523,63.75,-68.52,20,-2.01,64,5.82
requena,ES,1554348186,39.49,-1.1,20,52.0,87,4.7
kachiry,KZ,1554348230,53.07,76.1,88,45.63,62,9.55
